Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,3,4,2003,1955,2211,2225,WN,335,N712SW,128,150,116,-14,8,IAD,TPA,810,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,754,735,1002,1000,WN,3231,N772SW,128,145,113,2,19,IAD,TPA,810,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,628,620,804,750,WN,448,N428WN,96,90,76,14,8,IND,BWI,515,3,17,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,926,930,1054,1100,WN,1746,N612SW,88,90,78,-6,-4,IND,BWI,515,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1829,1755,1959,1925,WN,3920,N464WN,90,90,77,34,34,IND,BWI,515,3,10,0,,0,2,0,0,0,32
2008,1,3,4,1940,1915,2121,2110,WN,378,N726SW,101,115,87,11,25,IND,JAX,688,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1937,1830,2037,1940,WN,509,N763SW,240,250,230,57,67,IND,LAS,1591,3,7,0,,0,10,0,0,0,47
2008,1,3,4,1039,1040,1132,1150,WN,535,N428WN,233,250,219,-18,-1,IND,LAS,1591,7,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,617,615,652,650,WN,11,N689SW,95,95,70,2,2,IND,MCI,451,6,19,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1803,1800,2008,2010,WN,1322,N791SW,125,130,108,-2,3,MCO,BWI,787,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,747,750,939,955,WN,1424,N407WN,112,125,99,-16,-3,MCO,BWI,787,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1016,955,1209,1200,WN,1618,N746SW,113,125,98,9,21,MCO,BWI,787,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,2119,2120,2319,2325,WN,2619,N400WN,120,125,104,-6,-1,MCO,BWI,787,3,13,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1504,1445,1659,1650,WN,2821,N337SW,115,125,107,9,19,MCO,BWI,787,2,6,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1611,1615,1806,1820,WN,3256,N653SW,115,125,105,-14,-4,MCO,BWI,787,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,631,635,823,840,WN,3846,N222WN,112,125,96,-17,-4,MCO,BWI,787,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1843,1845,2047,2055,WN,3936,N445WN,124,130,102,-8,-2,MCO,BWI,787,6,16,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1340,1330,1622,1615,WN,331,N352SW,162,165,140,7,10,MCO,CLE,895,6,16,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1009,1005,1227,1250,WN,1620,N634SW,138,165,124,-23,4,MCO,CLE,895,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,659,700,908,915,WN,1492,N263WN,129,135,110,-7,-1,MCO,CMH,802,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1935,1940,2145,2155,WN,2036,N699SW,130,135,115,-10,-5,MCO,CMH,802,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1406,1355,1613,1610,WN,3578,N470WN,127,135,110,3,11,MCO,CMH,802,4,13,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1129,1025,1346,1235,WN,407,N497WN,257,250,234,71,64,MCO,DEN,1545,10,13,0,,0,0,0,7,0,64
2008,1,24,4,1513,1515,1716,1730,WN,1436,N220WN,243,255,228,-14,-2,MCO,DEN,1545,8,7,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1629,1630,1856,1910,WN,1132,N211WN,147,160,138,-14,-1,MCO,DTW,957,4,5,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1131,1130,1355,1410,WN,1549,N768SW,144,160,125,-15,1,MCO,DTW,957,6,13,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1726,1725,1823,1825,WN,549,N765SW,57,60,40,-2,1,MCO,FLL,178,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1848,1845,1946,1945,WN,1415,N354SW,58,60,36,1,3,MCO,FLL,178,5,17,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,2209,2210,2257,2300,WN,1836,N718SW,48,50,33,-3,-1,MCO,FLL,178,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1422,1415,1523,1515,WN,1936,N740SW,61,60,41,8,7,MCO,FLL,178,11,9,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,830,655,922,750,WN,2107,N214WN,52,55,39,92,95,MCO,FLL,178,5,8,0,,0,0,92,0,0,0
2008,1,24,4,1047,1045,1155,1145,WN,2875,N670SW,68,60,43,10,2,MCO,FLL,178,10,15,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1647,1630,1648,1640,WN,2452,N602SW,61,70,52,8,17,PHX,ONT,325,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1205,1200,1219,1210,WN,2722,N372SW,74,70,51,9,5,PHX,ONT,325,5,18,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1342,1340,1347,1345,WN,3247,N622SW,65,65,51,2,2,PHX,ONT,325,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1428,1420,1603,1615,WN,1314,N774SW,155,175,140,-12,8,PHX,PDX,1009,8,7,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,920,855,1057,1100,WN,1458,N388SW,157,185,142,-3,25,PHX,PDX,1009,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,2125,2100,2259,2255,WN,1468,N296WN,154,175,139,4,25,PHX,PDX,1009,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1027,1020,1650,1645,WN,1120,N788SA,263,265,230,5,7,PHX,PHL,2075,3,30,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1817,1725,7,2345,WN,3077,N740SW,230,260,218,22,52,PHX,PHL,2075,4,8,0,,0,14,0,0,0,8
2008,1,25,5,1234,1230,1812,1825,WN,1350,N263WN,218,235,201,-13,4,PHX,PIT,1813,10,7,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1048,1050,1717,1735,WN,2383,N217JC,269,285,241,-18,-2,PHX,PVD,2277,5,23,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,944,945,1521,1550,WN,383,N295WN,217,245,202,-29,-1,PHX,RDU,1891,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,2149,2115,2227,2205,WN,1103,N663SW,98,110,86,22,34,PHX,RNO,601,5,7,0,,0,22,0,0,0,0
2008,1,25,5,1509,1500,1548,1550,WN,1752,N237WN,99,110,88,-2,9,PHX,RNO,601,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,957,1000,1045,1055,WN,3661,N398SW,108,115,91,-10,-3,PHX,RNO,601,4,13,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1426,1425,1427,1430,WN,295,N235WN,61,65,51,-3,1,PHX,SAN,304,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1640,1630,1649,1635,WN,369,N765SW,69,65,53,14,10,PHX,SAN,304,9,7,0,,0,NA,NA,NA,NA,NA
